	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute
82		2022	1	4	10	0
83		2022	1	4	11	0
84		2022	1	4	12	0
85		2022	1	4	13	0
86		2022	1	4	14	0
87		2022	1	4	15	0
88		2022	1	4	16	0
89		2022	1	4	17	0
90		2022	1	4	18	0
91		2022	1	4	19	0
92		2022	1	4	20	0
93		2022	1	4	21	0
94		2022	1	4	22	0
95		2022	1	4	23	0
96		2022	1	5	0	0
97		2022	1	5	1	0
98		2022	1	5	2	0
99		2022	1	5	3	0
100		2022	1	5	4	0
101		2022	1	5	5	0
102		2022	1	5	6	0
103		2022	1	5	7	0
104		2022	1	5	8	0
105		2022	1	5	9	0
106		2022	1	5	10	0
107		2022	1	5	11	0
108		2022	1	5	12	0
109		2022	1	5	13	0
110		2022	1	5	14	0
111		2022	1	5	15	0
112		2022	1	5	16	0
113		2022	1	5	17	0
114		2022	1	5	18	0
115		2022	1	5	19	0
116		2022	1	5	20	0
117		2022	1	5	21	0
118		2022	1	5	22	0
119		2022	1	5	23	0
120		2022	1	6	0	0
121		2022	1	6	1	0
122		2022	1	6	2	0
123		2022	1	6	3	0
124		2022	1	6	4	0
125		2022	1	6	5	0
126		2022	1	6	6	0
127		2022	1	6	7	0
128		2022	1	6	8	0
129		2022	1	6	9	0
130		2022	1	6	10	0
131		2022	1	6	11	0
132		2022	1	6	12	0
133		2022	1	6	13	0
134		2022	1	6	14	0
135		2022	1	6	15	0
136		2022	1	6	16	0
137		2022	1	6	17	0
138		2022	1	6	18	0
139		2022	1	6	19	0
140		2022	1	6	20	0
141		2022	1	6	21	0
142		2022	1	6	22	0
143		2022	1	6	23	0
144		2022	1	7	0	0
145		2022	1	7	1	0
146		2022	1	7	2	0
147		2022	1	7	3	0
148		2022	1	7	4	0
149		2022	1	7	5	0
150		2022	1	7	6	0
151		2022	1	7	7	0
152		2022	1	7	8	0
153		2022	1	7	9	0
154		2022	1	7	10	0
155		2022	1	7	11	0
156		2022	1	7	12	0
157		2022	1	7	13	0
158		2022	1	7	14	0
159		2022	1	7	15	0
160		2022	1	7	16	0
161		2022	1	7	17	0
162		2022	1	7	18	0
163		2022	1	7	19	0
164		2022	1	7	20	0
165		2022	1	7	21	0
166		2022	1	7	22	0
167		2022	1	7	23	0
168		2022	1	8	0	0
169		2022	1	8	1	0
170		2022	1	8	2	0
171		2022	1	8	3	0
172		2022	1	8	4	0
173		2022	1	8	5	0
174		2022	1	8	6	0
175		2022	1	8	7	0
176		2022	1	8	8	0
177		2022	1	8	9	0
178		2022	1	8	10	0
179		2022	1	8	11	0
180		2022	1	8	12	0
181		2022	1	8	13	0
182		2022	1	8	14	0
183		2022	1	8	15	0
184		2022	1	8	16	0
185		2022	1	8	17	0
186		2022	1	8	18	0
187		2022	1	8	19	0
188		2022	1	8	20	0
189		2022	1	8	21	0
190		2022	1	8	22	0
191		2022	1	8	23	0
192		2022	1	9	0	0
193		2022	1	9	1	0
194		2022	1	9	2	0
195		2022	1	9	3	0
196		2022	1	9	4	0
197		2022	1	9	5	0
198		2022	1	9	6	0
199		2022	1	9	7	0
200		2022	1	9	8	0
201		2022	1	9	9	0
202		2022	1	9	10	0
203		2022	1	9	11	0
204		2022	1	9	12	0
205		2022	1	9	13	0
206		2022	1	9	14	0
207		2022	1	9	15	0
208		2022	1	9	16	0
209		2022	1	9	17	0
210		2022	1	9	18	0
211		2022	1	9	19	0
212		2022	1	9	20	0
213		2022	1	9	21	0
214		2022	1	9	22	0
215		2022	1	9	23	0
216		2022	1	10	0	0
217		2022	1	10	1	0
218		2022	1	10	2	0
219		2022	1	10	3	0
220		2022	1	10	4	0
221		2022	1	10	5	0
222		2022	1	10	6	0
223		2022	1	10	7	0
224		2022	1	10	8	0
225		2022	1	10	9	0
226		2022	1	10	10	0
227		2022	1	10	11	0
228		2022	1	10	12	0
229		2022	1	10	13	0
230		2022	1	10	14	0
231		2022	1	10	15	0
232		2022	1	10	16	0
233		2022	1	10	17	0
234		2022	1	10	18	0
235		2022	1	10	19	0
236		2022	1	10	20	0
237		2022	1	10	21	0
238		2022	1	10	22	0
239		2022	1	10	23	0
240		2022	1	11	0	0
241		2022	1	11	1	0
242		2022	1	11	2	0
243		2022	1	11	3	0
244		2022	1	11	4	0
245		2022	1	11	5	0
246		2022	1	11	6	0
247		2022	1	11	7	0
248		2022	1	11	8	0
249		2022	1	11	9	0
250		2022	1	11	10	0
251		2022	1	11	11	0
252		2022	1	11	12	0
253		2022	1	11	13	0
254		2022	1	11	14	0
255		2022	1	11	15	0
256		2022	1	11	16	0
257		2022	1	11	17	0
258		2022	1	11	18	0
259		2022	1	11	19	0
260		2022	1	11	20	0
261		2022	1	11	21	0
262		2022	1	11	22	0
263		2022	1	11	23	0
264		2022	1	12	0	0
265		2022	1	12	1	0
266		2022	1	12	2	0
267		2022	1	12	3	0
268		2022	1	12	4	0
269		2022	1	12	5	0
270		2022	1	12	6	0
271		2022	1	12	7	0
272		2022	1	12	8	0
273		2022	1	12	9	0
274		2022	1	12	10	0
275		2022	1	12	11	0
276		2022	1	12	12	0
277		2022	1	12	13	0
278		2022	1	12	14	0
279		2022	1	12	15	0
280		2022	1	12	16	0
281		2022	1	12	17	0
282		2022	1	12	18	0
283		2022	1	12	19	0
284		2022	1	12	20	0
285		2022	1	12	21	0
286		2022	1	12	22	0
287		2022	1	12	23	0
288		2022	1	13	0	0
289		2022	1	13	1	0
290		2022	1	13	2	0
291		2022	1	13	3	0
292		2022	1	13	4	0
293		2022	1	13	5	0
294		2022	1	13	6	0
295		2022	1	13	7	0
296		2022	1	13	8	0
297		2022	1	13	9	0
298		2022	1	13	10	0
299		2022	1	13	11	0
300		2022	1	13	12	0
301		2022	1	13	13	0
302		2022	1	13	14	0
303		2022	1	13	15	0
304		2022	1	13	16	0
305		2022	1	13	17	0
306		2022	1	13	18	0
307		2022	1	13	19	0
308		2022	1	13	20	0
309		2022	1	13	21	0
310		2022	1	13	22	0
311		2022	1	13	23	0
312		2022	1	14	0	0
313		2022	1	14	1	0
314		2022	1	14	2	0
315		2022	1	14	3	0
316		2022	1	14	4	0
317		2022	1	14	5	0
318		2022	1	14	6	0
319		2022	1	14	7	0
320		2022	1	14	8	0
321		2022	1	14	9	0
322		2022	1	14	10	0
323		2022	1	14	11	0
324		2022	1	14	12	0
325		2022	1	14	13	0
326		2022	1	14	14	0
327		2022	1	14	15	0
328		2022	1	14	16	0
329		2022	1	14	17	0
330		2022	1	14	18	0
331		2022	1	14	19	0
332		2022	1	14	20	0
333		2022	1	14	21	0
334		2022	1	14	22	0
335		2022	1	14	23	0
336		2022	1	15	0	0
337		2022	1	15	1	0
338		2022	1	15	2	0
339		2022	1	15	3	0
340		2022	1	15	4	0
341		2022	1	15	5	0
342		2022	1	15	6	0
343		2022	1	15	7	0
344		2022	1	15	8	0
345		2022	1	15	9	0
346		2022	1	15	10	0
347		2022	1	15	11	0
348		2022	1	15	12	0
349		2022	1	15	13	0
350		2022	1	15	14	0
351		2022	1	15	15	0
352		2022	1	15	16	0
353		2022	1	15	17	0
354		2022	1	15	18	0
355		2022	1	15	19	0
356		2022	1	15	20	0
357		2022	1	15	21	0
358		2022	1	15	22	0
359		2022	1	15	23	0
360		2022	1	16	0	0
361		2022	1	16	1	0
362		2022	1	16	2	0
363		2022	1	16	3	0
364		2022	1	16	4	0
365		2022	1	16	5	0
366		2022	1	16	6	0
367		2022	1	16	7	0
368		2022	1	16	8	0
369		2022	1	16	9	0
370		2022	1	16	10	0
371		2022	1	16	11	0
372		2022	1	16	12	0
373		2022	1	16	13	0
374		2022	1	16	14	0
375		2022	1	16	15	0
376		2022	1	16	16	0
377		2022	1	16	17	0
378		2022	1	16	18	0
379		2022	1	16	19	0
380		2022	1	16	20	0
381		2022	1	16	21	0
382		2022	1	16	22	0
383		2022	1	16	23	0
384		2022	1	17	0	0
385		2022	1	17	1	0
386		2022	1	17	2	0
387		2022	1	17	3	0
388		2022	1	17	4	0
389		2022	1	17	5	0
390		2022	1	17	6	0
391		2022	1	17	7	0
392		2022	1	17	8	0
393		2022	1	17	9	0
394		2022	1	17	10	0
395		2022	1	17	11	0
396		2022	1	17	12	0
397		2022	1	17	13	0
398		2022	1	17	14	0
399		2022	1	17	15	0
400		2022	1	17	16	0
401		2022	1	17	17	0
402		2022	1	17	18	0
403		2022	1	17	19	0
404		2022	1	17	20	0
405		2022	1	17	21	0
406		2022	1	17	22	0
407		2022	1	17	23	0
408		2022	1	18	0	0
409		2022	1	18	1	0
410		2022	1	18	2	0
411		2022	1	18	3	0
412		2022	1	18	4	0
413		2022	1	18	5	0
414		2022	1	18	6	0
415		2022	1	18	7	0
416		2022	1	18	8	0
417		2022	1	18	9	0
418		2022	1	18	10	0
419		2022	1	18	11	0
420		2022	1	18	12	0
421		2022	1	18	13	0
422		2022	1	18	14	0
423		2022	1	18	15	0
424		2022	1	18	16	0
425		2022	1	18	17	0
426		2022	1	18	18	0
427		2022	1	18	19	0
428		2022	1	18	20	0
429		2022	1	18	21	0
430		2022	1	18	22	0
431		2022	1	18	23	0
432		2022	1	19	0	0
433		2022	1	19	1	0
434		2022	1	19	2	0
435		2022	1	19	3	0
436		2022	1	19	4	0
437		2022	1	19	5	0
438		2022	1	19	6	0
439		2022	1	19	7	0
440		2022	1	19	8	0
441		2022	1	19	9	0
442		2022	1	19	10	0
443		2022	1	19	11	0
444		2022	1	19	12	0
445		2022	1	19	13	0
446		2022	1	19	14	0
447		2022	1	19	15	0
448		2022	1	19	16	0
449		2022	1	19	17	0
450		2022	1	19	18	0
451		2022	1	19	19	0
452		2022	1	19	20	0
453		2022	1	19	21	0
454		2022	1	19	22	0
455		2022	1	19	23	0
456		2022	1	20	0	0
457		2022	1	20	1	0
458		2022	1	20	2	0
459		2022	1	20	3	0
460		2022	1	20	4	0
461		2022	1	20	5	0
462		2022	1	20	6	0
463		2022	1	20	7	0
464		2022	1	20	8	0
465		2022	1	20	9	0
466		2022	1	20	10	0
467		2022	1	20	11	0
468		2022	1	20	12	0
469		2022	1	20	13	0
470		2022	1	20	14	0
471		2022	1	20	15	0
472		2022	1	20	16	0
473		2022	1	20	17	0
474		2022	1	20	18	0
475		2022	1	20	19	0
476		2022	1	20	20	0
477		2022	1	20	21	0
478		2022	1	20	22	0
479		2022	1	20	23	0
480		2022	1	21	0	0
481		2022	1	21	1	0
482		2022	1	21	2	0
483		2022	1	21	3	0
484		2022	1	21	4	0
485		2022	1	21	5	0
486		2022	1	21	6	0
487		2022	1	21	7	0
488		2022	1	21	8	0
489		2022	1	21	9	0
490		2022	1	21	10	0
491		2022	1	21	11	0
492		2022	1	21	12	0
493		2022	1	21	13	0
494		2022	1	21	14	0
495		2022	1	21	15	0
496		2022	1	21	16	0
497		2022	1	21	17	0
498		2022	1	21	18	0
499		2022	1	21	19	0
500		2022	1	21	20	0
501		2022	1	21	21	0
502		2022	1	21	22	0
503		2022	1	21	23	0
504		2022	1	22	0	0
505		2022	1	22	1	0
506		2022	1	22	2	0
507		2022	1	22	3	0
508		2022	1	22	4	0
509		2022	1	22	5	0
510		2022	1	22	6	0
511		2022	1	22	7	0
512		2022	1	22	8	0
513		2022	1	22	9	0
514		2022	1	22	10	0
515		2022	1	22	11	0
516		2022	1	22	12	0
517		2022	1	22	13	0
518		2022	1	22	14	0
519		2022	1	22	15	0
520		2022	1	22	16	0
521		2022	1	22	17	0
522		2022	1	22	18	0
523		2022	1	22	19	0
524		2022	1	22	20	0
525		2022	1	22	21	0
526		2022	1	22	22	0
527		2022	1	22	23	0
528		2022	1	23	0	0
529		2022	1	23	1	0
530		2022	1	23	2	0
531		2022	1	23	3	0
532		2022	1	23	4	0
533		2022	1	23	5	0
534		2022	1	23	6	0
535		2022	1	23	7	0
536		2022	1	23	8	0
537		2022	1	23	9	0
538		2022	1	23	10	0
539		2022	1	23	11	0
540		2022	1	23	12	0
541		2022	1	23	13	0
542		2022	1	23	14	0
543		2022	1	23	15	0
544		2022	1	23	16	0
545		2022	1	23	17	0
546		2022	1	23	18	0
547		2022	1	23	19	0
548		2022	1	23	20	0
549		2022	1	23	21	0
550		2022	1	23	22	0
551		2022	1	23	23	0
552		2022	1	24	0	0
553		2022	1	24	1	0
554		2022	1	24	2	0
555		2022	1	24	3	0
556		2022	1	24	4	0
557		2022	1	24	5	0
558		2022	1	24	6	0
559		2022	1	24	7	0
560		2022	1	24	8	0
561		2022	1	24	9	0
562		2022	1	24	10	0
563		2022	1	24	11	0
564		2022	1	24	12	0
565		2022	1	24	13	0
566		2022	1	24	14	0
567		2022	1	24	15	0
568		2022	1	24	16	0
569		2022	1	24	17	0
570		2022	1	24	18	0
571		2022	1	24	19	0
572		2022	1	24	20	0
573		2022	1	24	21	0
574		2022	1	24	22	0
575		2022	1	24	23	0
576		2022	1	25	0	0
577		2022	1	25	1	0
578		2022	1	25	2	0
579		2022	1	25	3	0
580		2022	1	25	4	0
581		2022	1	25	5	0
582		2022	1	25	6	0
583		2022	1	25	7	0
584		2022	1	25	8	0
585		2022	1	25	9	0
586		2022	1	25	10	0
587		2022	1	25	11	0
588		2022	1	25	12	0
589		2022	1	25	13	0
590		2022	1	25	14	0
591		2022	1	25	15	0
592		2022	1	25	16	0
593		2022	1	25	17	0
594		2022	1	25	18	0
595		2022	1	25	19	0
596		2022	1	25	20	0
597		2022	1	25	21	0
598		2022	1	25	22	0
599		2022	1	25	23	0
600		2022	1	26	0	0
601		2022	1	26	1	0
602		2022	1	26	2	0
603		2022	1	26	3	0
604		2022	1	26	4	0
605		2022	1	26	5	0
606		2022	1	26	6	0
607		2022	1	26	7	0
608		2022	1	26	8	0
609		2022	1	26	9	0
610		2022	1	26	10	0
611		2022	1	26	11	0
612		2022	1	26	12	0
613		2022	1	26	13	0
614		2022	1	26	14	0
615		2022	1	26	15	0
616		2022	1	26	16	0
617		2022	1	26	17	0
618		2022	1	26	18	0
619		2022	1	26	19	0
620		2022	1	26	20	0
621		2022	1	26	21	0
622		2022	1	26	22	0
623		2022	1	26	23	0
624		2022	1	27	0	0
625		2022	1	27	1	0
626		2022	1	27	2	0
627		2022	1	27	3	0
628		2022	1	27	4	0
629		2022	1	27	5	0
630		2022	1	27	6	0
631		2022	1	27	7	0
632		2022	1	27	8	0
633		2022	1	27	9	0
634		2022	1	27	10	0
635		2022	1	27	11	0
636		2022	1	27	12	0
637		2022	1	27	13	0
638		2022	1	27	14	0
639		2022	1	27	15	0
640		2022	1	27	16	0
641		2022	1	27	17	0
642		2022	1	27	18	0
643		2022	1	27	19	0
644		2022	1	27	20	0
645		2022	1	27	21	0
646		2022	1	27	22	0
647		2022	1	27	23	0
648		2022	1	28	0	0
649		2022	1	28	1	0
650		2022	1	28	2	0
651		2022	1	28	3	0
652		2022	1	28	4	0
653		2022	1	28	5	0
654		2022	1	28	6	0
655		2022	1	28	7	0
656		2022	1	28	8	0
657		2022	1	28	9	0
658		2022	1	28	10	0
659		2022	1	28	11	0
660		2022	1	28	12	0
661		2022	1	28	13	0
662		2022	1	28	14	0
663		2022	1	28	15	0
664		2022	1	28	16	0
665		2022	1	28	17	0
666		2022	1	28	18	0
667		2022	1	28	19	0
668		2022	1	28	20	0
669		2022	1	28	21	0
670		2022	1	28	22	0
671		2022	1	28	23	0
672		2022	1	29	0	0
673		2022	1	29	1	0
674		2022	1	29	2	0
675		2022	1	29	3	0
676		2022	1	29	4	0
677		2022	1	29	5	0
678		2022	1	29	6	0
679		2022	1	29	7	0
680		2022	1	29	8	0
681		2022	1	29	9	0
682		2022	1	29	10	0
683		2022	1	29	11	0
684		2022	1	29	12	0
685		2022	1	29	13	0
686		2022	1	29	14	0
687		2022	1	29	15	0
688		2022	1	29	16	0
689		2022	1	29	17	0
690		2022	1	29	18	0
691		2022	1	29	19	0
692		2022	1	29	20	0
693		2022	1	29	21	0
694		2022	1	29	22	0
695		2022	1	29	23	0
696		2022	1	30	0	0
697		2022	1	30	1	0
698		2022	1	30	2	0
699		2022	1	30	3	0
700		2022	1	30	4	0
701		2022	1	30	5	0
702		2022	1	30	6	0
703		2022	1	30	7	0
704		2022	1	30	8	0
705		2022	1	30	9	0
706		2022	1	30	10	0
707		2022	1	30	11	0
708		2022	1	30	12	0
709		2022	1	30	13	0
710		2022	1	30	14	0
711		2022	1	30	15	0
712		2022	1	30	16	0
713		2022	1	30	17	0
714		2022	1	30	18	0
715		2022	1	30	19	0
716		2022	1	30	20	0
717		2022	1	30	21	0
718		2022	1	30	22	0
719		2022	1	30	23	0
720		2022	1	31	0	0
721		2022	1	31	1	0
722		2022	1	31	2	0
723		2022	1	31	3	0
724		2022	1	31	4	0
725		2022	1	31	5	0
726		2022	1	31	6	0
727		2022	1	31	7	0
728		2022	1	31	8	0
729		2022	1	31	9	0
730		2022	1	31	10	0
731		2022	1	31	11	0
732		2022	1	31	12	0
733		2022	1	31	13	0
734		2022	1	31	14	0
735		2022	1	31	15	0
736		2022	1	31	16	0
737		2022	1	31	17	0
738		2022	1	31	18	0
739		2022	1	31	19	0
740		2022	1	31	20	0
741		2022	1	31	21	0
742		2022	1	31	22	0
743		2022	1	31	23	0
744		2022	2	1	0	0
745		2022	2	1	1	0
746		2022	2	1	2	0
747		2022	2	1	3	0
748		2022	2	1	4	0
749		2022	2	1	5	0
750		2022	2	1	6	0
751		2022	2	1	7	0
752		2022	2	1	8	0
753		2022	2	1	9	0
754		2022	2	1	10	0
755		2022	2	1	11	0
756		2022	2	1	12	0
757		2022	2	1	13	0
758		2022	2	1	14	0
759		2022	2	1	15	0
760		2022	2	1	16	0
761		2022	2	1	17	0
762		2022	2	1	18	0
763		2022	2	1	19	0
764		2022	2	1	20	0
765		2022	2	1	21	0
766		2022	2	1	22	0
767		2022	2	1	23	0
768		2022	2	2	0	0
769		2022	2	2	1	0
770		2022	2	2	2	0
771		2022	2	2	3	0
772		2022	2	2	4	0
773		2022	2	2	5	0
774		2022	2	2	6	0
775		2022	2	2	7	0
776		2022	2	2	8	0
777		2022	2	2	9	0
778		2022	2	2	10	0
779		2022	2	2	11	0
780		2022	2	2	12	0
781		2022	2	2	13	0
782		2022	2	2	14	0
783		2022	2	2	15	0
784		2022	2	2	16	0
785		2022	2	2	17	0
786		2022	2	2	18	0
787		2022	2	2	19	0
788		2022	2	2	20	0
789		2022	2	2	21	0
790		2022	2	2	22	0
791		2022	2	2	23	0
792		2022	2	3	0	0
793		2022	2	3	1	0
794		2022	2	3	2	0
795		2022	2	3	3	0
796		2022	2	3	4	0
797		2022	2	3	5	0
798		2022	2	3	6	0
799		2022	2	3	7	0
800		2022	2	3	8	0
801		2022	2	3	9	0
802		2022	2	3	10	0
803		2022	2	3	11	0
804		2022	2	3	12	0
805		2022	2	3	13	0
806		2022	2	3	14	0
807		2022	2	3	15	0
808		2022	2	3	16	0
809		2022	2	3	17	0
810		2022	2	3	18	0
811		2022	2	3	19	0
812		2022	2	3	20	0
813		2022	2	3	21	0
814		2022	2	3	22	0
815		2022	2	3	23	0
816		2022	2	4	0	0
817		2022	2	4	1	0
818		2022	2	4	2	0
819		2022	2	4	3	0
820		2022	2	4	4	0
821		2022	2	4	5	0
822		2022	2	4	6	0
823		2022	2	4	7	0
824		2022	2	4	8	0
825		2022	2	4	9	0
826		2022	2	4	10	0
827		2022	2	4	11	0
828		2022	2	4	12	0
829		2022	2	4	13	0
830		2022	2	4	14	0
831		2022	2	4	15	0
832		2022	2	4	16	0
833		2022	2	4	17	0
834		2022	2	4	18	0
835		2022	2	4	19	0
836		2022	2	4	20	0
837		2022	2	4	21	0
838		2022	2	4	22	0
839		2022	2	4	23	0
840		2022	2	5	0	0
841		2022	2	5	1	0
842		2022	2	5	2	0
843		2022	2	5	3	0
844		2022	2	5	4	0
845		2022	2	5	5	0
846		2022	2	5	6	0
847		2022	2	5	7	0
848		2022	2	5	8	0
849		2022	2	5	9	0
850		2022	2	5	10	0
851		2022	2	5	11	0
852		2022	2	5	12	0
853		2022	2	5	13	0
854		2022	2	5	14	0
855		2022	2	5	15	0
856		2022	2	5	16	0
857		2022	2	5	17	0
858		2022	2	5	18	0
859		2022	2	5	19	0
860		2022	2	5	20	0
861		2022	2	5	21	0
862		2022	2	5	22	0
863		2022	2	5	23	0
864		2022	2	6	0	0
865		2022	2	6	1	0
866		2022	2	6	2	0
867		2022	2	6	3	0
868		2022	2	6	4	0
869		2022	2	6	5	0
870		2022	2	6	6	0
871		2022	2	6	7	0
872		2022	2	6	8	0
873		2022	2	6	9	0
874		2022	2	6	10	0
875		2022	2	6	11	0
876		2022	2	6	12	0
877		2022	2	6	13	0
878		2022	2	6	14	0
879		2022	2	6	15	0
880		2022	2	6	16	0
881		2022	2	6	17	0
882		2022	2	6	18	0
883		2022	2	6	19	0
884		2022	2	6	20	0
885		2022	2	6	21	0
886		2022	2	6	22	0
887		2022	2	6	23	0
888		2022	2	7	0	0
889		2022	2	7	1	0
890		2022	2	7	2	0
891		2022	2	7	3	0
892		2022	2	7	4	0
893		2022	2	7	5	0
894		2022	2	7	6	0
895		2022	2	7	7	0
896		2022	2	7	8	0
897		2022	2	7	9	0
898		2022	2	7	10	0
899		2022	2	7	11	0
900		2022	2	7	12	0
901		2022	2	7	13	0
902		2022	2	7	14	0
903		2022	2	7	15	0
904		2022	2	7	16	0
905		2022	2	7	17	0
906		2022	2	7	18	0
907		2022	2	7	19	0
908		2022	2	7	20	0
909		2022	2	7	21	0
910		2022	2	7	22	0
911		2022	2	7	23	0
912		2022	2	8	0	0
913		2022	2	8	1	0
914		2022	2	8	2	0
915		2022	2	8	3	0
916		2022	2	8	4	0
917		2022	2	8	5	0
918		2022	2	8	6	0
919		2022	2	8	7	0
920		2022	2	8	8	0
921		2022	2	8	9	0
922		2022	2	8	10	0
923		2022	2	8	11	0
924		2022	2	8	12	0
925		2022	2	8	13	0
926		2022	2	8	14	0
927		2022	2	8	15	0
928		2022	2	8	16	0
929		2022	2	8	17	0
930		2022	2	8	18	0
931		2022	2	8	19	0
932		2022	2	8	20	0
933		2022	2	8	21	0
934		2022	2	8	22	0
935		2022	2	8	23	0
936		2022	2	9	0	0
937		2022	2	9	1	0
938		2022	2	9	2	0
939		2022	2	9	3	0
940		2022	2	9	4	0
941		2022	2	9	5	0
942		2022	2	9	6	0
943		2022	2	9	7	0
944		2022	2	9	8	0
945		2022	2	9	9	0
946		2022	2	9	10	0
947		2022	2	9	11	0
948		2022	2	9	12	0
949		2022	2	9	13	0
950		2022	2	9	14	0
951		2022	2	9	15	0
952		2022	2	9	16	0
953		2022	2	9	17	0
954		2022	2	9	18	0
955		2022	2	9	19	0
956		2022	2	9	20	0
957		2022	2	9	21	0
958		2022	2	9	22	0
959		2022	2	9	23	0
960		2022	2	10	0	0
961		2022	2	10	1	0
962		2022	2	10	2	0
963		2022	2	10	3	0
964		2022	2	10	4	0
965		2022	2	10	5	0
966		2022	2	10	6	0
967		2022	2	10	7	0
968		2022	2	10	8	0
969		2022	2	10	9	0
970		2022	2	10	10	0
971		2022	2	10	11	0
972		2022	2	10	12	0
973		2022	2	10	13	0
974		2022	2	10	14	0
975		2022	2	10	15	0
976		2022	2	10	16	0
977		2022	2	10	17	0
978		2022	2	10	18	0
979		2022	2	10	19	0
980		2022	2	10	20	0
981		2022	2	10	21	0
982		2022	2	10	22	0
983		2022	2	10	23	0
984		2022	2	11	0	0
985		2022	2	11	1	0
986		2022	2	11	2	0
987		2022	2	11	3	0
988		2022	2	11	4	0
989		2022	2	11	5	0
990		2022	2	11	6	0
991		2022	2	11	7	0
992		2022	2	11	8	0
993		2022	2	11	9	0
994		2022	2	11	10	0
995		2022	2	11	11	0
996		2022	2	11	12	0
997		2022	2	11	13	0
998		2022	2	11	14	0
999		2022	2	11	15	0
1000		2022	2	11	16	0
1001		2022	2	11	17	0
1002		2022	2	11	18	0
1003		2022	2	11	19	0
1004		2022	2	11	20	0
1005		2022	2	11	21	0
1006		2022	2	11	22	0
1007		2022	2	11	23	0
1008		2022	2	12	0	0
1009		2022	2	12	1	0
1010		2022	2	12	2	0
1011		2022	2	12	3	0
1012		2022	2	12	4	0
1013		2022	2	12	5	0
1014		2022	2	12	6	0
1015		2022	2	12	7	0
1016		2022	2	12	8	0
1017		2022	2	12	9	0
1018		2022	2	12	10	0
1019		2022	2	12	11	0
1020		2022	2	12	12	0
1021		2022	2	12	13	0
1022		2022	2	12	14	0
1023		2022	2	12	15	0
1024		2022	2	12	16	0
1025		2022	2	12	17	0
1026		2022	2	12	18	0
1027		2022	2	12	19	0
1028		2022	2	12	20	0
1029		2022	2	12	21	0
1030		2022	2	12	22	0
1031		2022	2	12	23	0
1032		2022	2	13	0	0
1033		2022	2	13	1	0
1034		2022	2	13	2	0
1035		2022	2	13	3	0
1036		2022	2	13	4	0
1037		2022	2	13	5	0
1038		2022	2	13	6	0
1039		2022	2	13	7	0
1040		2022	2	13	8	0
1041		2022	2	13	9	0
1042		2022	2	13	10	0
1043		2022	2	13	11	0
1044		2022	2	13	12	0
1045		2022	2	13	13	0
1046		2022	2	13	14	0
1047		2022	2	13	15	0
1048		2022	2	13	16	0
1049		2022	2	13	17	0
1050		2022	2	13	18	0
1051		2022	2	13	19	0
1052		2022	2	13	20	0
1053		2022	2	13	21	0
1054		2022	2	13	22	0
1055		2022	2	13	23	0
1056		2022	2	14	0	0
1057		2022	2	14	1	0
1058		2022	2	14	2	0
1059		2022	2	14	3	0
1060		2022	2	14	4	0
1061		2022	2	14	5	0
1062		2022	2	14	6	0
1063		2022	2	14	7	0
1064		2022	2	14	8	0
1065		2022	2	14	9	0
1066		2022	2	14	10	0
