Station Code	Station Name	Country	Network	Station type	Latitude	Longitude	Date	PM10 mean concentration (microg/m^3)
NO_5_28654	Manglerud	NO	European Envioronmental Agency (EEA)	traffic	59.89863999953457	10.8149	2024-04-29	20.042916666666667
NO_5_28655	Sofienbergparken	NO	European Envioronmental Agency (EEA)	background	59.92304999953481	10.76574	2024-04-29	10.355576333333333
NO_5_28671	St.Croix	NO	European Envioronmental Agency (EEA)	traffic	59.21027999952828	10.94535	2024-04-29	11.078307363333332
NO_5_28673	Bankplassen	NO	European Envioronmental Agency (EEA)	traffic	61.11294999954632	10.46487	2024-04-29	17.91162846875
NO_5_28675	Bangeløkka	NO	European Envioronmental Agency (EEA)	traffic	59.73326999953305	10.211669999999998	2022-09-28	
NO_5_28680	Bygdøy Alle	NO	European Envioronmental Agency (EEA)	traffic	59.91929999953478	10.696509999999998	2024-04-29	27.641666666666666
NO_5_28685	Kannik	NO	European Envioronmental Agency (EEA)	traffic	58.96421999952612	5.72786	2024-04-29	8.20324451875
NO_5_28716	Hjortnes	NO	European Envioronmental Agency (EEA)	traffic	59.91125999953471	10.70398	2024-04-29	14.762916666666664
NO_5_28722	Kårvatn	NO	European Envioronmental Agency (EEA)	background	62.7824599995638	8.87658	2022-01-02	
NO_5_28724	Torvet	NO	European Envioronmental Agency (EEA)	background	63.43037999957095	10.39355	2024-04-19	
NO_5_28732	Danmarks plass	NO	European Envioronmental Agency (EEA)	traffic	60.37407999953911	5.34042	2024-04-29	7.789287032083332
NO_5_28733	Birkenesobservatoriet	NO	European Envioronmental Agency (EEA)	background	58.38845999952113	8.251900000000001	2023-01-03	
NO_5_28744	Stener Heyerdahl	NO	European Envioronmental Agency (EEA)	background	58.14887999951912	7.991830000000001	2024-04-29	17.907939810416668
NO_5_28754	Grimmerhaugen	NO	European Envioronmental Agency (EEA)	background	62.47216999956044	6.15682	2024-04-29	7.307590273749999
NO_5_28782	Lensmannsdalen	NO	European Envioronmental Agency (EEA)	traffic	59.15929999952787	9.63573	2024-04-29	30.346249999999998
NO_5_28788	Alnabru	NO	European Envioronmental Agency (EEA)	traffic	59.92768999953486	10.846550000000002	2024-04-29	31.990612158333334
NO_5_28796	Skøyen	NO	European Envioronmental Agency (EEA)	background	59.9197499995348	10.68973	2024-04-29	5.445074069166668
NO_5_28799	Smestad	NO	European Envioronmental Agency (EEA)	traffic	59.9324999995349	10.66987	2024-04-29	20.813966083333334
NO_5_28807	Hurdal25	NO	European Envioronmental Agency (EEA)	background	60.37287999953907	11.07407	2023-01-03	
NO_5_28812	Kirkeveien	NO	European Envioronmental Agency (EEA)	traffic	59.9323099995349	10.72455	2024-04-29	8.947528875000001
NO_5_28816	Hansjordnesbukta	NO	European Envioronmental Agency (EEA)	traffic	69.65624999965044	18.96372	2024-04-29	71.39137499708333
NO_5_35076	Sverresgate	NO	European Envioronmental Agency (EEA)	traffic	59.13815999952766	9.6522	2024-04-29	20.72125
NO_5_35084	Nygaardsgata	NO	European Envioronmental Agency (EEA)	background	59.21019099952831	10.940096999999998	2023-12-31	
NO_5_35085	E6-Tiller	NO	European Envioronmental Agency (EEA)	traffic	63.357609999570144	10.371740000000004	2024-04-29	53.398051083333335
NO_5_35115	Eilif Dues vei	NO	European Envioronmental Agency (EEA)	traffic	59.90607999953467	10.611950000000002	2021-06-18	
NO_5_35120	Rv 4, Aker sykehus	NO	European Envioronmental Agency (EEA)	traffic	59.94102999953499	10.798030000000002	2024-02-19	
NO_5_43719	Kransen	NO	European Envioronmental Agency (EEA)	traffic	59.43347099953032	10.661762360000004	2024-04-29	48.56151287708334
NO_5_43723	Minnesundvegen, Gjøvik	NO	European Envioronmental Agency (EEA)	traffic	60.79088999954314	10.696700000000002	2024-04-23	
NO_5_43728	Vangsveien, Hamar	NO	European Envioronmental Agency (EEA)	traffic	60.7964599995432	11.09777	2024-01-04	
NO_5_43733	Vigernes	NO	European Envioronmental Agency (EEA)	traffic	59.95547699953512	11.073983000000002	2024-03-01	
NO_5_43744	Alvim	NO	European Envioronmental Agency (EEA)	traffic	59.27377543952886	11.08919017	2024-04-29	11.61587705
NO_5_43746	Loddefjord	NO	European Envioronmental Agency (EEA)	traffic	60.36113499953897	5.236860000000001	2024-04-29	7.5763925875
NO_5_43749	Rolland, Åsane	NO	European Envioronmental Agency (EEA)	background	60.462664999539946	5.332447000000001	2024-04-29	5.454988651666667
NO_5_48876	Elgeseter	NO	European Envioronmental Agency (EEA)	traffic	63.41744999957082	10.39677	2024-04-29	24.896169625
NO_5_50188	Furulund	NO	European Envioronmental Agency (EEA)	industrial	59.05730399952695	9.695567999999998	2024-04-29	11.982463652916666
NO_5_56171	Bekkestua	NO	European Envioronmental Agency (EEA)	traffic	59.91821999953476	10.58393	2024-04-29	11.408333333333331
NO_5_56175	Sentrum	NO	European Envioronmental Agency (EEA)	traffic	68.43539699963341	17.424891000000002	2022-12-29	
NO_5_56176	Karl Eriksens plass	NO	European Envioronmental Agency (EEA)	traffic	62.47062199956042	6.153500999999999	2024-04-29	16.58354166375
NO_5_60846	Leiret	NO	European Envioronmental Agency (EEA)	traffic	60.88364254954405	11.55930063	2024-04-29	9.97208670875
NO_5_60855	Knarrdalstranda	NO	European Envioronmental Agency (EEA)	background	59.13353999952761	9.621900000000002	2024-04-29	25.28166990375
NO_5_60863	Rådal	NO	European Envioronmental Agency (EEA)	traffic	60.294267999538334	5.324619000000001	2024-04-29	11.054487379583334
NO_5_60865	E6 Alna senter	NO	European Envioronmental Agency (EEA)	traffic	59.92555999953484	10.850367	2024-04-29	15.272941862083334
NO_5_60873	Klosterhaugen	NO	European Envioronmental Agency (EEA)	background	60.395928999539294	5.312674	2024-04-29	5.81513785625
NO_5_62993	Rambergan	NO	European Envioronmental Agency (EEA)	background	69.65427999965043	18.95636	2024-04-29	34.94203471833333
NO_5_63001	Moheia Vest	NO	European Envioronmental Agency (EEA)	industrial	66.31219099960529	14.149923	2024-04-29	22.901398258749996
NO_5_64121	Schancheholen	NO	European Envioronmental Agency (EEA)	traffic	58.95187699952602	5.721875	2024-04-29	7.874514639583334
NO_5_65114	Seljestad Rv83	NO	European Envioronmental Agency (EEA)	traffic	68.79222699963832	16.537423	2024-04-29	67.84072327749999
NO_5_65116	Ringsakervegen	NO	European Envioronmental Agency (EEA)	traffic	60.88592999954408	10.93785	2024-04-29	15.370833333333332
NO_5_65121	Solheim	NO	European Envioronmental Agency (EEA)	traffic	59.92861199953487	10.953203000000002	2024-04-29	14.280106151666667
NO_5_65126	Olav V gate	NO	European Envioronmental Agency (EEA)	traffic	67.2755009996178	14.419057000000002	2024-04-29	21.73645751875
NO_5_65128	Nedre Langgate	NO	European Envioronmental Agency (EEA)	traffic	59.26372499952878	10.411165	2024-04-29	11.813274186249998
NO_5_65132	Bryn skole	NO	European Envioronmental Agency (EEA)	background	59.91415999953474	10.82472	2023-01-04	
NO_5_69326	Bjørndalssletta	NO	European Envioronmental Agency (EEA)	traffic	58.16232399951925	8.023775	2024-04-29	10.527307195
NO_5_69418	Backeparken	NO	European Envioronmental Agency (EEA)	background	59.74952599953322	10.165301	2024-04-29	8.0
NO_5_69422	Vårveien	NO	European Envioronmental Agency (EEA)	traffic	59.75361799953324	10.144396999999998	2024-04-29	13.291666666666666
NO_5_70757	Åsveien skole	NO	European Envioronmental Agency (EEA)	traffic	63.41535799957081	10.368372000000004	2024-04-03	
NO_5_71584	Spikersuppa	NO	European Envioronmental Agency (EEA)	background	59.91405099953472	10.735978	2024-04-29	10.1568709
NO_5_73250	Vågen	NO	European Envioronmental Agency (EEA)	background	58.9726489995262	5.726498000000001	2024-04-29	7.4849455987499995
NO_5_73254	E18 Høvik kirke	NO	European Envioronmental Agency (EEA)	traffic	59.89882299953459	10.575860999999998	2024-02-26	
NO_5_76728	Omkjøringsvegen	NO	European Envioronmental Agency (EEA)	traffic	63.41049099957075	10.444352	2024-04-29	9.053881784583332
NO_5_76730	Loallmenningen	NO	European Envioronmental Agency (EEA)	background	59.90309499953464	10.758407999999998	2023-08-03	
NO_5_76952	Vahl skole	NO	European Envioronmental Agency (EEA)	traffic	59.916943999534766	10.766	2024-04-29	9.816666666666666
NO_5_76957	Vollaparken øst	NO	European Envioronmental Agency (EEA)	background	59.95831199953515	11.042884	2024-02-05	
SE_5_30862	Norr Malma	SE	European Envioronmental Agency (EEA)	background	59.83238199953396	18.631314	2024-04-29	12.021845832916668
SE_5_30886	Malmö Dalaplan	SE	European Envioronmental Agency (EEA)	traffic	55.58474699949976	13.00623	2024-04-29	10.996249999999998
SE_5_30902	Stockholm Torkel Knutssongatan	SE	European Envioronmental Agency (EEA)	background	59.31600699952924	18.057807	2024-04-29	18.03170124958333
SE_5_30936	Borås Kungsgatan	SE	European Envioronmental Agency (EEA)	traffic	57.72078899951563	12.944741000000002	2022-12-31	
SE_5_30950	Göteborg Gårda	SE	European Envioronmental Agency (EEA)	traffic	57.70093699951548	11.994604000000002	2024-02-06	
SE_5_30965	Örnsköldsvik Centralesplanaden 15C	SE	European Envioronmental Agency (EEA)	traffic	63.29137499956939	18.716063	2021-05-31	
SE_5_30985	Sollentuna E4 Häggvik	SE	European Envioronmental Agency (EEA)	traffic	59.4435349995304	17.922358	2024-04-29	34.9509375
SE_5_30996	Stockholm E4/E20 Lilla Essingen	SE	European Envioronmental Agency (EEA)	traffic	59.32552599952933	18.004391	2024-04-29	44.1891
SE_5_31002	Umeå Västra Esplanaden	SE	European Envioronmental Agency (EEA)	traffic	63.8288589995755	20.258491000000003	2024-04-29	5.974999999999999
SE_5_31023	Råö	SE	European Envioronmental Agency (EEA)	background	57.39361199951304	11.914179999999998	2024-04-29	12.191666666666668
SE_5_31026	Stockholm Hornsgatan 108 Gata	SE	European Envioronmental Agency (EEA)	traffic	59.31722199952927	18.048660000000005	2024-04-29	39.676458333333336
SE_5_31069	Göteborg Haga	SE	European Envioronmental Agency (EEA)	traffic	57.69785799951545	11.960547	2023-12-11	
SE_5_31082	Göteborg Femman	SE	European Envioronmental Agency (EEA)	background	57.709019999515526	11.970241	2024-03-31	
SE_5_31088	Malmö Rådhuset	SE	European Envioronmental Agency (EEA)	background	55.60638799949989	13.001964	2024-04-29	9.130416666666667
SE_5_31104	Södertälje Turingegatan 26	SE	European Envioronmental Agency (EEA)	traffic	59.198114999528165	17.621084	2024-04-29	37.555483333333335
SE_5_31107	Skellefteå Viktoriagatan	SE	European Envioronmental Agency (EEA)	traffic	64.75050399958594	20.960501000000004	2021-05-31	
SE_5_31111	Sundsvall Köpmangatan	SE	European Envioronmental Agency (EEA)	traffic	62.38855999955954	17.30889	2024-04-29	8.136208333333334
SE_5_31124	Bredkälen	SE	European Envioronmental Agency (EEA)	background	63.845496999575694	15.31973	2022-08-29	
SE_5_31143	Halmstad Viktoriagatan	SE	European Envioronmental Agency (EEA)	traffic	56.67205799950749	12.863374	2024-04-28	
SE_5_31201	Stockholm Sveavägen 59 Gata	SE	European Envioronmental Agency (EEA)	traffic	59.34082699952947	18.058254	2024-04-29	31.3586
SE_5_31212	Linköping Hamngatan 16	SE	European Envioronmental Agency (EEA)	traffic	58.41096499952133	15.630535000000002	2021-11-22	
SE_5_33462	Södertälje Birkakorset	SE	European Envioronmental Agency (EEA)	urban	59.20134099952823	17.634752	2024-04-29	27.492587500000003
SE_5_53158	Norrköping Packhusgatan	SE	European Envioronmental Agency (EEA)	traffic	58.59597399952292	16.192314	2021-01-11	
SE_5_53163	Jönköping Lantmätaregränd	SE	European Envioronmental Agency (EEA)	background	57.78156799951612	14.173671000000002	2024-04-28	
SE_5_53201	Landskrona Eriksgatan	SE	European Envioronmental Agency (EEA)	traffic	55.87742899950177	12.833638	2024-03-18	
SE_5_53230	Örebro Rudbecksskolan	SE	European Envioronmental Agency (EEA)	traffic	59.26831999952882	15.214897	2022-12-31	
SE_5_56159	Trelleborg Hamngatan	SE	European Envioronmental Agency (EEA)	traffic	55.37287499949833	13.157458	2024-04-28	
SE_5_56166	Västerås Melkertorget	SE	European Envioronmental Agency (EEA)	traffic	59.60987099953191	16.55046	2022-02-12	
SE_5_56167	Uppsala Kungsgatan 67	SE	European Envioronmental Agency (EEA)	traffic	59.8570939995342	17.646309	2024-04-29	70.03742083333334
SE_5_56190	Lund Trollebergsvägen	SE	European Envioronmental Agency (EEA)	traffic	55.70333599950057	13.180275	2024-04-29	8.845833333333333
SE_5_58078	Gävle Södra Kungsgatan 12	SE	European Envioronmental Agency (EEA)	traffic	60.67154899954196	17.147120000000005	2022-12-31	
SE_5_58082	Sollentuna Ekmans Väg 11	SE	European Envioronmental Agency (EEA)	traffic	59.48899899953082	17.919923000000004	2024-04-29	21.129027500000003
SE_5_58130	Sundsvall Bergsgatan	SE	European Envioronmental Agency (EEA)	traffic	62.38646199955952	17.303233999999996	2024-04-29	17.214458333333337
SE_5_61462	Karlstad Hamngatan - Järnvägsstationen	SE	European Envioronmental Agency (EEA)	traffic	59.37818499952981	13.498061999999996	2022-01-22	
SE_5_61484	Jönköping Kungsgatan 2A	SE	European Envioronmental Agency (EEA)	traffic	57.7782389995161	14.159519	2024-04-28	
SE_5_61623	Mariestad Kyrkogatan	SE	European Envioronmental Agency (EEA)	background	58.709758999523885	13.821763	2022-12-30	
SE_5_61705	Stockholm E4 Skonertvägen	SE	European Envioronmental Agency (EEA)	traffic	59.31329999952922	18.004039000000002	2024-01-08	
