Station Code	Station Name	Country	Network	Station type	Latitude	Longitude	Date	PM10 mean concentration (microg/m^3)	PM10 24h mean forecast	PM10 48h mean forecast	Forecast Quality
SPO_NO0089A_5_1082	Torvet	Norway	European Envioronmental Agency (EEA)	background	63.4304	10.3936					
SPO_NO0102A_5_1530	E6-Tiller	Norway	European Envioronmental Agency (EEA)	traffic	63.3576	10.3717					
SPO_NO0145A_5_3060	OmkjÃ¸ringsvegen	Norway	European Envioronmental Agency (EEA)	traffic	63.4105	10.4444					
SPO_NO0061A_5_713	Lensmannsdalen	Norway	European Envioronmental Agency (EEA)	traffic	59.1593	9.6357					
SPO_NO0106A_5_1231	Sverresgate	Norway	European Envioronmental Agency (EEA)	traffic	59.1382	9.6522					
SPO_NO0115A_5_2473	Furulund	Norway	European Envioronmental Agency (EEA)	industrial	59.0573	9.6956					
SPO_NO0118A_5_2723	Knarrdalstranda	Norway	European Envioronmental Agency (EEA)	background	59.1335	9.6219					
SPO_NO0063A_5_192	Stener Heyerdahl	Norway	European Envioronmental Agency (EEA)	background	58.1489	7.9918					
SPO_NO0134A_5_3121	BjÃ¸rndalssletta	Norway	European Envioronmental Agency (EEA)	traffic	58.1623	8.0238					
SPO_NO0065A_5_52	VÃ¥land	Norway	European Envioronmental Agency (EEA)	background	58.9616	5.7314					
SPO_NO0076A_5_46	Kannik	Norway	European Envioronmental Agency (EEA)	traffic	58.9642	5.7279					
SPO_NO0125A_5_3017	Schancheholen	Norway	European Envioronmental Agency (EEA)	traffic	58.9519	5.7219					
SPO_NO0141A_5_3178	VÃ¥gen	Norway	European Envioronmental Agency (EEA)	background	58.9726	5.7265					
SPO_NO0074A_5_539	Bankplassen	Norway	European Envioronmental Agency (EEA)	traffic	61.1129	10.4649					
SPO_NO0075A_5_544	Lillehammer barnehage	Norway	European Envioronmental Agency (EEA)	background	61.1209	10.4656					
SPO_NO0079A_5_392	Hansjordnesbukta	Norway	European Envioronmental Agency (EEA)	traffic	69.6562	18.9637					
SPO_NO0124A_5_2957	Rambergan	Norway	European Envioronmental Agency (EEA)	background	69.6543	18.9564					
SPO_NO0084A_5_967	St.Croix	Norway	European Envioronmental Agency (EEA)	traffic	59.2103	10.9454					
SPO_NO0114A_5_2325	Bekkestua	Norway	European Envioronmental Agency (EEA)	background	59.9182	10.5839					
SPO_NO0142A_5_3183	E18 HÃ¸vik kirke	Norway	European Envioronmental Agency (EEA)	traffic	59.8988	10.5759					
SPO_NO0110A_5_2064	Alvim	Norway	European Envioronmental Agency (EEA)	traffic	59.2738	11.0892					
SPO_NO0112A_5_1221	Kransen	Norway	European Envioronmental Agency (EEA)	traffic	59.4335	10.6618					
SPO_NO0119A_5_2701	Leiret	Norway	European Envioronmental Agency (EEA)	traffic	60.8836	11.5593					
SPO_NO0104A_5_1671	Vangsveien  Hamar	Norway	European Envioronmental Agency (EEA)	traffic	60.7965	11.0978					
SPO_NO0111A_5_1692	Vigernes	Norway	European Envioronmental Agency (EEA)	traffic	59.9555	11.074					
SPO_NO0128A_5_2972	Nedre Langgate	Norway	European Envioronmental Agency (EEA)	traffic	59.2637	10.4112					
SPO_NO0129A_5_2950	Solheim	Norway	European Envioronmental Agency (EEA)	traffic	59.9286	10.9532					
SPO_NO0127A_5_2964	Seljestad Rv83	Norway	European Envioronmental Agency (EEA)	traffic	68.7922	16.5374					
SPO_NO0130A_5_3000	Ringsakervegen	Norway	European Envioronmental Agency (EEA)	traffic	60.8859	10.9379					
SPO_NO0147A_5_3157	Vollaparken Ã¸st	Norway	European Envioronmental Agency (EEA)	background	59.9583	11.0429					
SPO-SE0001A_00005_100	MalmÃ¶ RÃ¥dhuset	Sweden	European Envioronmental Agency (EEA)	background	55.6064	13.002					
