	Station Code	Station Name	Country	Station type	Latitude	Longitude	Network	PM10 24h mean forecast	PM10 48h mean forecast	Today air quality	Tomorrow air quality
54	SPO_NO0011A_5_19	Kirkeveien	Norway	traffic	59.9323	10.7245	European Envioronmental Agency (EEA)	18.467832897020422	18.68494125034498	Good	Good
55	SPO_NO0057A_5_41	Alnabru	Norway	traffic	59.9277	10.8466	European Envioronmental Agency (EEA)	33.972744319749914	30.818782225899074	Moderate	Moderate
56	SPO_NO0072A_5_352	SkÃ¸yen	Norway	background	59.9197	10.6897	European Envioronmental Agency (EEA)	24.021750325741976	21.635124745576277	Good	Good
57	SPO_NO0073A_5_552	Sofienbergparken	Norway	background	59.923	10.7657	European Envioronmental Agency (EEA)	20.97424544458804	18.939146415047023	Good	Good
58	SPO_NO0083A_5_793	BygdÃ¸y Alle	Norway	traffic	59.9193	10.6965	European Envioronmental Agency (EEA)	35.930667628412664	34.427945510200836	Moderate	Moderate
59	SPO_NO0140A_5_3171	Spikersuppa	Norway	background	59.9141	10.736	European Envioronmental Agency (EEA)	12.713814424431842	13.56064215950344	Good	Good
60	SPO_NO0143A_5_3173	Vahl skole	Norway	traffic	59.9169	10.766	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
61	SPO_NO0146A_5_3145	Loallmenningen	Norway	background	59.9031	10.7584	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
62	SPO_NO0059A_5_11	Danmarks plass	Norway	traffic	60.3741	5.3404	European Envioronmental Agency (EEA)	25.57965726437776	22.70980279341988	Moderate	Good
63	SPO_NO0108A_5_2071	Rolland Ãsane	Norway	background	60.4627	5.3324	European Envioronmental Agency (EEA)	6.087222638337509	6.826663970947266	Good	Good
64	SPO_NO0109A_5_2067	Loddefjord	Norway	traffic	60.3611	5.2369	European Envioronmental Agency (EEA)	21.65027900364088	17.623481252919074	Good	Good
65	SPO_NO0120A_5_2902	Klosterhaugen	Norway	background	60.3959	5.3127	European Envioronmental Agency (EEA)	8.082691545071809	8.985401982846467	Good	Good
66	SPO_NO0121A_5_2888	RÃ¥dal	Norway	traffic	60.2943	5.3246	European Envioronmental Agency (EEA)	12.689061828281568	12.88122782499894	Good	Good
67	SPO_NO0135A_5_3126	Backeparken	Norway	background	59.7495	10.1653	European Envioronmental Agency (EEA)	22.814370238262676	22.318429407866105	Good	Good
68	SPO_NO0136A_5_3124	VÃ¥rveien	Norway	traffic	59.7536	10.1444	European Envioronmental Agency (EEA)	31.053234349126402	31.284823500591777	Moderate	Moderate
69	SPO_NO0060A_5_1685	Elgeseter	Norway	traffic	63.4174	10.3968	European Envioronmental Agency (EEA)	6.002258705056232	9.064625211383985	Good	Good
70	SPO_NO0089A_5_1082	Torvet	Norway	background	63.4304	10.3936	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
71	SPO_NO0102A_5_1530	E6-Tiller	Norway	traffic	63.3576	10.3717	European Envioronmental Agency (EEA)	8.311978713325832	10.610428758289503	Good	Good
72	SPO_NO0145A_5_3060	OmkjÃ¸ringsvegen	Norway	traffic	63.4105	10.4444	European Envioronmental Agency (EEA)	7.214588554009147	7.0350581355716875	Good	Good
73	SPO_NO0061A_5_713	Lensmannsdalen	Norway	traffic	59.1593	9.6357	European Envioronmental Agency (EEA)	32.757226446400516	27.780854515407395	Moderate	Moderate
74	SPO_NO0106A_5_1231	Sverresgate	Norway	traffic	59.1382	9.6522	European Envioronmental Agency (EEA)	30.843058130015496	25.55212700885275	Moderate	Moderate
75	SPO_NO0115A_5_2473	Furulund	Norway	industrial	59.0573	9.6956	European Envioronmental Agency (EEA)	18.16012996176015	14.333689440851627	Good	Good
76	SPO_NO0118A_5_2723	Knarrdalstranda	Norway	background	59.1335	9.6219	European Envioronmental Agency (EEA)	24.48355185467264	20.958991672681726	Good	Good
77	SPO_NO0063A_5_192	Stener Heyerdahl	Norway	background	58.1489	7.9918	European Envioronmental Agency (EEA)	13.868139971857486	12.630372337673021	Good	Good
78	SPO_NO0134A_5_3121	BjÃ¸rndalssletta	Norway	traffic	58.1623	8.0238	European Envioronmental Agency (EEA)	25.52637655838676	21.34591417727263	Moderate	Good
79	SPO_NO0065A_5_52	VÃ¥land	Norway	background	58.9616	5.7314	European Envioronmental Agency (EEA)	18.934977407040805	16.204011668329652	Good	Good
80	SPO_NO0076A_5_46	Kannik	Norway	traffic	58.9642	5.7279	European Envioronmental Agency (EEA)	17.10810839611551	14.231973357822584	Good	Good
81	SPO_NO0125A_5_3017	Schancheholen	Norway	traffic	58.9519	5.7219	European Envioronmental Agency (EEA)	18.080629804859992	15.967692375183105	Good	Good
82	SPO_NO0141A_5_3178	VÃ¥gen	Norway	background	58.9726	5.7265	European Envioronmental Agency (EEA)	10.003292581309443	9.076370301453963	Good	Good
83	SPO_NO0074A_5_539	Bankplassen	Norway	traffic	61.1129	10.4649	European Envioronmental Agency (EEA)	37.25552558898926	30.06006385969079	Moderate	Moderate
84	SPO_NO0075A_5_544	Lillehammer barnehage	Norway	background	61.1209	10.4656	European Envioronmental Agency (EEA)	26.502294581869375	18.872125957323156	Moderate	Good
85	SPO_NO0079A_5_392	Hansjordnesbukta	Norway	traffic	69.6562	18.9637	European Envioronmental Agency (EEA)	11.901156943777334	13.416689665421195	Good	Good
86	SPO_NO0124A_5_2957	Rambergan	Norway	background	69.6543	18.9564	European Envioronmental Agency (EEA)	7.891774872074956	8.507189543350883	Good	Good
