	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
116	NaN	2021	4	6	19	0	SPO_NO0143A_5_3173
117	NaN	2021	4	6	20	0	SPO_NO0143A_5_3173
118	NaN	2021	4	6	21	0	SPO_NO0143A_5_3173
119	NaN	2021	4	6	22	0	SPO_NO0143A_5_3173
120	NaN	2021	4	6	23	0	SPO_NO0143A_5_3173
121	NaN	2021	4	7	0	0	SPO_NO0143A_5_3173
122	NaN	2021	4	7	1	0	SPO_NO0143A_5_3173
123	NaN	2021	4	7	2	0	SPO_NO0143A_5_3173
124	NaN	2021	4	7	3	0	SPO_NO0143A_5_3173
125	NaN	2021	4	7	4	0	SPO_NO0143A_5_3173
126	NaN	2021	4	7	5	0	SPO_NO0143A_5_3173
127	NaN	2021	4	7	6	0	SPO_NO0143A_5_3173
128	NaN	2021	4	7	7	0	SPO_NO0143A_5_3173
129	NaN	2021	4	7	8	0	SPO_NO0143A_5_3173
130	NaN	2021	4	7	9	0	SPO_NO0143A_5_3173
131	NaN	2021	4	7	10	0	SPO_NO0143A_5_3173
132	NaN	2021	4	7	11	0	SPO_NO0143A_5_3173
133	NaN	2021	4	7	12	0	SPO_NO0143A_5_3173
134	NaN	2021	4	7	13	0	SPO_NO0143A_5_3173
135	NaN	2021	4	7	14	0	SPO_NO0143A_5_3173
136	NaN	2021	4	7	15	0	SPO_NO0143A_5_3173
137	NaN	2021	4	7	16	0	SPO_NO0143A_5_3173
138	NaN	2021	4	7	17	0	SPO_NO0143A_5_3173
139	NaN	2021	4	7	18	0	SPO_NO0143A_5_3173
140	NaN	2021	4	7	19	0	SPO_NO0143A_5_3173
141	NaN	2021	4	7	20	0	SPO_NO0143A_5_3173
142	NaN	2021	4	7	21	0	SPO_NO0143A_5_3173
143	NaN	2021	4	7	22	0	SPO_NO0143A_5_3173
144	NaN	2021	4	7	23	0	SPO_NO0143A_5_3173
145	NaN	2021	4	8	0	0	SPO_NO0143A_5_3173
146	NaN	2021	4	8	1	0	SPO_NO0143A_5_3173
147	NaN	2021	4	8	2	0	SPO_NO0143A_5_3173
148	NaN	2021	4	8	3	0	SPO_NO0143A_5_3173
149	NaN	2021	4	8	4	0	SPO_NO0143A_5_3173
150	NaN	2021	4	8	5	0	SPO_NO0143A_5_3173
151	NaN	2021	4	8	6	0	SPO_NO0143A_5_3173
152	NaN	2021	4	8	7	0	SPO_NO0143A_5_3173
153	NaN	2021	4	8	8	0	SPO_NO0143A_5_3173
154	NaN	2021	4	8	9	0	SPO_NO0143A_5_3173
155	NaN	2021	4	8	10	0	SPO_NO0143A_5_3173
156	NaN	2021	4	8	11	0	SPO_NO0143A_5_3173
157	NaN	2021	4	8	12	0	SPO_NO0143A_5_3173
158	NaN	2021	4	8	13	0	SPO_NO0143A_5_3173
159	NaN	2021	4	8	14	0	SPO_NO0143A_5_3173
160	NaN	2021	4	8	15	0	SPO_NO0143A_5_3173
161	NaN	2021	4	8	16	0	SPO_NO0143A_5_3173
162	NaN	2021	4	8	17	0	SPO_NO0143A_5_3173
163	NaN	2021	4	8	18	0	SPO_NO0143A_5_3173
164	NaN	2021	4	8	19	0	SPO_NO0143A_5_3173
165	NaN	2021	4	8	20	0	SPO_NO0143A_5_3173
166	NaN	2021	4	8	21	0	SPO_NO0143A_5_3173
167	NaN	2021	4	8	22	0	SPO_NO0143A_5_3173
168	NaN	2021	4	8	23	0	SPO_NO0143A_5_3173
169	NaN	2021	4	9	0	0	SPO_NO0143A_5_3173
170	NaN	2021	4	9	1	0	SPO_NO0143A_5_3173
