	Files_names	Nan_count	Longest_NaN_gap	Start_date	End_date	conc mean 2020	2020 days conc>50 (microg/m^3)	conc mean 2021	2021 days conc>50 (microg/m^3)	conc mean 2022	 2022 days conc>50 (microg/m^3)	conc mean 2023	 2023 days conc>50 (microg/m^3)	conc mean 2020 jan-june	conc mean 2021 jan-june	conc mean 2022 jan-june	conc mean 2023 jan-june
37	FI_5_69637_PM10_timeseries.txt	135	31	2020-01-01	2023-08-31	[10.17679425471046]	6	[10.07105714925539]	8	[10.800173570736176]	12	[14.073617115639504]	14	12.679967945105313	13.011507289893494	14.666606556777316	16.41551434797235
38	FI_5_69642_PM10_timeseries.txt	383	186	2020-01-01	2023-08-31	[10.461957221457732]	0	[11.915644292524522]	2	[9.817756075079615]	0	[10.990780635950415]	3	11.062666414231213	13.70061552259447	11.358211387514451	11.565703103052728
39	FI_5_70766_PM10_timeseries.txt	1707	600	2020-01-01	2023-08-31	[11.111030924381406]	3	[10.069326128792122]	0	[10.315937592454214]	2	[10.60630118247666]	0	10.715760237255264	10.746306552370728	12.123874465625775	11.736884231302833
40	FI_5_78715_PM10_timeseries.txt	14017	14005	2022-01-01	2023-08-31	[nan]	0	[1.31047475]	0	[nan]	0	[5.622076759721256]	0				
41	FI_5_78717_PM10_timeseries.txt	14008	14004	2022-01-01	2023-08-31	[nan]	0	[1.79426727]	0	[nan]	0	[3.913361933876502]	0				
42	IS_5_23743_PM10_timeseries.txt	234	70	2020-01-01	2023-08-31	[6.182126383274184]	1	[6.214235680980528]	1	[4.993646193210811]	0	[5.83642872218011]	0	6.80493919931987	6.378742779117716	5.701773937548952	5.997393828268876
43	IS_5_45497_PM10_timeseries.txt	13904	8760	2020-01-01	2023-08-31	[11.130964856359219]	1	[93.37999999]	0	[13.333667492028573]	0	[7.592716106154392]	0	11.721710547584868	93.37999999	13.519022064450057	6.50199624507079
44	IS_5_45503_PM10_timeseries.txt	125	49	2020-01-01	2021-01-01	[13.128536782538399]	7	[58.0]	0	[nan]	0	[nan]	0	13.77992998833139	58.0		
45	IS_5_45504_PM10_timeseries.txt	6432	4104	2020-01-01	2021-12-31	[6.931990318582541]	0	[7.990935373853585]	0	[nan]	0	[nan]	0	7.85036328534463	8.07930811724798		
46	IS_5_52109_PM10_timeseries.txt	4476	3878	2020-01-01	2023-08-31	[7.374366239557916]	2	[11.228463233416306]	7	[8.441471885296012]	3	[10.423505656170473]	2	5.924903503193942	14.001179063195947	9.43908122323509	10.518474771938306
47	IS_5_52149_PM10_timeseries.txt	1132	685	2020-01-01	2023-08-31	[6.154620033445806]	0	[6.565091755122851]	2	[6.054794484688642]	1	[5.51078400162063]	0	6.81938919484375	7.31564348809081	7.49315025520665	5.282210816715259
48	IS_5_61402_PM10_timeseries.txt	6153	6105	2020-01-01	2023-08-31	[5.025670882880777]	0	[13.253947473475247]	2	[7.453465364991992]	1	[7.238122852510682]	1	5.025670882880783	14.532738265231405	10.993633184112365	7.489785075511049
49	IS_5_61403_PM10_timeseries.txt	17855	4171	2020-01-01	2023-08-31	[11.330110124709595]	1	[7.179431705800493]	0	[5.763242255881277]	0	[5.035458472275325]	0	13.141994471244697	4.112680265944882	9.177179195205479	5.2924875250535335
50	IS_5_61404_PM10_timeseries.txt	9703	2506	2020-01-01	2023-08-31	[8.184201752914028]	0	[7.773811309063921]	1	[6.060139004651145]	0	[6.413650856851656]	0	8.760749088073345	6.5319453039186435	6.795045501237011	6.667483792936622
51	IS_5_61443_PM10_timeseries.txt	1907	345	2020-01-01	2023-08-31	[12.282922062057171]	11	[14.651397425489968]	15	[23.609451099118072]	16	[14.362699639361153]	7	13.835440128706045	17.038425925925925	16.673758865248228	16.320728614249482
52	IS_5_66726_PM10_timeseries.txt	2093	1555	2020-01-01	2023-08-31	[13.026126335346028]	6	[14.738279893506192]	7	[10.755861872957226]	3	[23.295099061522418]	4	13.764005602240896	19.1	11.470280373831775	27.842043590344506
53	NO_5_28640_PM10_timeseries.txt	804	389	2020-01-01	2023-08-31	[11.221972738934838]	2	[13.810969552730906]	5	[11.676457596193769]	2	[12.565023787289356]	2	12.250269826848498	15.814357463049005	13.87189615846849	14.17789478744725
54	NO_5_28653_PM10_timeseries.txt	258	172	2020-01-01	2023-08-31	[10.828484233306742]	0	[12.315404919836464]	0	[11.8255818808138]	2	[11.594316006477246]	0	12.726505049793388	13.667695227918397	13.486204134424984	12.93358190749136
55	NO_5_28654_PM10_timeseries.txt	363	89	2020-01-01	2023-08-31	[20.162645238950244]	19	[20.98012371022214]	18	[20.743291404612204]	24	[19.515809458060094]	15	24.428653666139912	25.190051785404897	27.68053302433372	22.512136594370094
56	NO_5_28655_PM10_timeseries.txt	1165	92	2020-01-01	2023-08-31	[11.127869582185891]	2	[13.513343888531965]	0	[13.601221194316656]	1	[13.141843722564774]	1	11.88150694435314	13.145181006545755	16.304940580848086	15.2923630059538
57	NO_5_28671_PM10_timeseries.txt	3297	1663	2020-01-01	2023-08-31	[13.37618385041302]	4	[18.357140838080866]	15	[17.261753603238965]	19	[15.249675704666805]	8	15.872291953867968	21.15434364898157	24.615940533414232	18.07750604615093
58	NO_5_28673_PM10_timeseries.txt	997	648	2020-01-01	2023-08-31	[17.62963925660378]	20	[19.673724055603273]	26	[16.190652625013225]	15	[16.889622903890746]	12	23.463146734580523	24.515757731455903	20.393455222952714	20.056288683401846
59	NO_5_28675_PM10_timeseries.txt	895	512	2020-01-01	2022-09-28	[22.876388208605608]	28	[22.20681706672687]	14	[23.377786536339237]	30	[nan]	0	26.935314335985403	24.801193868774433	29.434296541923256	
60	NO_5_28680_PM10_timeseries.txt	1527	671	2020-01-01	2023-08-31	[15.309846397329116]	11	[18.22121626308305]	8	[22.661928026692053]	35	[20.513719735876734]	22	19.62355534589464	21.979720625106008	28.858622294624155	23.90788074878669
61	NO_5_28685_PM10_timeseries.txt	952	409	2020-01-01	2023-08-28	[7.951788558826346]	0	[11.747515882447212]	3	[9.256443816331734]	2	[8.872100335238402]	0	9.58861136233272	13.779499649061849	10.557931338365563	10.691771628187338
62	NO_5_28716_PM10_timeseries.txt	639	80	2020-01-01	2023-08-31	[20.02069717969969]	22	[24.3905567216541]	28	[23.61609553478706]	28	[21.652361111111063]	14	22.78521105920427	26.72677087945585	29.76487929433612	25.258661048689138
63	NO_5_28722_PM10_timeseries.txt	17205	335	2020-01-13	2022-01-02	[2.9430799973999986]	0	[3.2561224453061217]	0	[4.668]	0	[nan]	0	2.7530416641666675	3.626999996521739	4.668	
64	NO_5_28724_PM10_timeseries.txt	3061	1004	2020-01-01	2023-08-31	[7.612530649031166]	2	[9.258393964178982]	0	[8.964784144275008]	2	[8.295959199686177]	0	7.699952937981177	10.022330579332333	10.04793388581952	9.807562326869805
65	NO_5_28732_PM10_timeseries.txt	60	25	2020-01-01	2023-08-31	[15.129279414369046]	6	[16.63894203357992]	13	[13.903516482431561]	3	[11.707304962672067]	0	16.714394903770906	21.035075207061535	15.158154345769228	13.643053528741646
66	NO_5_28733_PM10_timeseries.txt	17377	839	2020-01-08	2022-01-04	[5.190539996800003]	0	[4.097244440888888]	0	[2.689]	0	[nan]	0	5.71992307423077	4.1368999965	2.689	
67	NO_5_28744_PM10_timeseries.txt	825	240	2020-01-01	2023-08-31	[13.050546163842336]	4	[11.900574119861544]	0	[11.289838642866304]	2	[8.312427475976182]	0	15.397879207007838	13.263912830614926	13.31677698435313	8.93520415938737
68	NO_5_28754_PM10_timeseries.txt	3514	1955	2020-01-01	2023-08-31	[10.744936456479685]	1	[10.002374518862371]	0	[9.605165043932582]	0	[9.973083623693398]	0	11.06510946699338	10.649547862888118	10.920230788116866	10.58219661335842
69	NO_5_28782_PM10_timeseries.txt	303	44	2020-01-01	2023-08-31	[19.77212458067011]	12	[19.344108873052765]	9	[19.060699896396926]	15	[18.108239570711383]	6	24.340181689261733	23.01656488188295	24.6709729604807	20.371977638015373
