	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
267	1.12	2021	2	12	3	0	SPO-SE312888_00005_100
268	1.44999999	2021	2	12	4	0	SPO-SE312888_00005_100
269	1.14999999	2021	2	12	5	0	SPO-SE312888_00005_100
270	1.24	2021	2	12	6	0	SPO-SE312888_00005_100
271	1.54	2021	2	12	7	0	SPO-SE312888_00005_100
272	1.81	2021	2	12	8	0	SPO-SE312888_00005_100
273	1.78	2021	2	12	9	0	SPO-SE312888_00005_100
274	2.56999999	2021	2	12	10	0	SPO-SE312888_00005_100
275	1.54	2021	2	12	11	0	SPO-SE312888_00005_100
276	1.85	2021	2	12	12	0	SPO-SE312888_00005_100
277	2.41999999	2021	2	12	13	0	SPO-SE312888_00005_100
278	2.5	2021	2	12	14	0	SPO-SE312888_00005_100
279	2.29	2021	2	12	15	0	SPO-SE312888_00005_100
280	1.97	2021	2	12	16	0	SPO-SE312888_00005_100
281	2.62999999	2021	2	12	17	0	SPO-SE312888_00005_100
282	2.41	2021	2	12	18	0	SPO-SE312888_00005_100
283	2.43999999	2021	2	12	19	0	SPO-SE312888_00005_100
284	2.45	2021	2	12	20	0	SPO-SE312888_00005_100
285	1.84	2021	2	12	21	0	SPO-SE312888_00005_100
286	2.00999999	2021	2	12	22	0	SPO-SE312888_00005_100
287	1.79	2021	2	12	23	0	SPO-SE312888_00005_100
288	1.59	2021	2	13	0	0	SPO-SE312888_00005_100
289	1.38999999	2021	2	13	1	0	SPO-SE312888_00005_100
290	1.28	2021	2	13	2	0	SPO-SE312888_00005_100
291	1.12	2021	2	13	3	0	SPO-SE312888_00005_100
292	1.04	2021	2	13	4	0	SPO-SE312888_00005_100
293	0.95	2021	2	13	5	0	SPO-SE312888_00005_100
294	0.98	2021	2	13	6	0	SPO-SE312888_00005_100
295	1.14999999	2021	2	13	7	0	SPO-SE312888_00005_100
296	1.45999999	2021	2	13	8	0	SPO-SE312888_00005_100
297	1.47	2021	2	13	9	0	SPO-SE312888_00005_100
298	1.47	2021	2	13	10	0	SPO-SE312888_00005_100
299	1.81	2021	2	13	11	0	SPO-SE312888_00005_100
300	2.1	2021	2	13	12	0	SPO-SE312888_00005_100
301	2.25999999	2021	2	13	13	0	SPO-SE312888_00005_100
302	1.83	2021	2	13	14	0	SPO-SE312888_00005_100
303	1.61	2021	2	13	15	0	SPO-SE312888_00005_100
304	2.04999999	2021	2	13	16	0	SPO-SE312888_00005_100
305	1.89999999	2021	2	13	17	0	SPO-SE312888_00005_100
306	2.43999999	2021	2	13	18	0	SPO-SE312888_00005_100
307	3.2	2021	2	13	19	0	SPO-SE312888_00005_100
308	1.78	2021	2	13	20	0	SPO-SE312888_00005_100
309	2.56999999	2021	2	13	21	0	SPO-SE312888_00005_100
310	1.8	2021	2	13	22	0	SPO-SE312888_00005_100
311	1.57	2021	2	13	23	0	SPO-SE312888_00005_100
312	1.23	2021	2	14	0	0	SPO-SE312888_00005_100
313	1.16999999	2021	2	14	1	0	SPO-SE312888_00005_100
