	B-G Namespace	Year	Air Quality Network	Air Quality Network Name	Timezone	Air Quality Station EoI Code	Air Quality Station Nat Code	Air Quality Station Name	Sampling Point Id	Air Pollutant	Longitude	Latitude	Altitude	Altitude Unit	Air Quality Station Area	Air Quality Station Type	Operational Activity Begin	Operational Activity End	Sample Id	Inlet Height	Inlet Height Unit	Building Distance	Building Distance Unit	Kerb Distance	Kerb Distance Unit	Distance Source	Distance Source Unit	Main Emission Sources	Heating Emissions	Heating Emissions Unit	Mobile	Traffic Emissions	Traffic Emissions Unit	Industrial Emissions	Industrial Emissions Unit	Municipality	Dispersion Local	Dispersion Regional	Distance Junction	Distance Junction Unit	Heavy Duty Fraction	Height Facades	Street Width	Traffic Speed	Traffic Volume	Process Id	Process Activity Begin	Process Activity End	Measurement Type	Measurement Method	Other Measurement Method	Measurement Equipment	Other Measurement Equipment	Sampling Method	Other Sampling Method	Analytical Technique	Other Analytical Technique	Equivalence Demonstrated	Demonstration Report	Detection Limit	Detection Limit Unit	Documentation	QA Report	Duration	Duration Unit	Cadence	Cadence Unit	Source Data URL	Imported	Unnamed: 70	Unnamed: 71
26	FI.FMI.AQ	2023	NET-FI020A	EtelÃ¤-Karjalan verkko	UTC+02	FI00424	424	Mansikkala	SPO-FI00424_00005_100	PM10	28.7701	61.1889	75.0	m	urban	traffic	1999-09-01T00:00:00		SPO_F-FI00424_00005_100_100	3	m	1	m	100	m	100	m	Transport			0					Imatra	elevated				0.1	10	12	40	8000	SPP-FI_A_1119_21_5			automatic	TEOM		TEOM1405						inprogress		-999	ug.m-3		http://www.imatranseudunymparistotoimi.fi/palvelut/ilmanlaadun-valvonta/	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
27	FI.FMI.AQ	2023	NET-FI020A	EtelÃ¤-Karjalan verkko	UTC+02	FI00433	433	Teppanala	SPO-FI00433_00005_100	PM10	28.8101	61.153	62.0	m	suburban	industrial	1994-08-01T00:00:00		SPO_F-FI00433_00005_100_100	3	m	1	m	50	m	200	m	Industrial Processes			0			42	t.year-1	Imatra	detached					5	7	40	500	SPP-FI_A_1421_21_5			automatic	BETA		andersenFH62IR						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf	-999	ug.m-3		http://www.imatranseudunymparistotoimi.fi/palvelut/ilmanlaadun-valvonta/	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
28	FI.FMI.AQ	2023	NET-FI020A	EtelÃ¤-Karjalan verkko	UTC+02	FI00434	434	Joutsenon keskusta	SPO-FI00434_00005_100	PM10	28.4985	61.1171	103.0	m	suburban	traffic	1997-09-01T00:00:00		SPO_F-FI00434_00005_100_100	3	m	1	m	5	m	5	m	Transport			0					Lappeenranta	detached		20		0.07	7	6	40	1212	SPP-FI_A_1419_21_5			automatic	BETA		enviroMP101M						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf	-999	ug.m-3		http://www.imatranseudunymparistotoimi.fi/palvelut/ilmanlaadun-valvonta/	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
29	FI.FMI.AQ	2023	NET-FI020A	EtelÃ¤-Karjalan verkko	UTC+02	FI00606	606	Lappeenrannan keskusta 4	SPO-FI00606_00005_100	PM10	28.1843	61.0558	106.0	m	urban	traffic	2008-06-16T00:00:00		SPO_F-FI00606_00005_100_100	3.5	m	1	m	4	m	4	m	Transport			0					Lappeenranta	canyon					6			7100	SPP-FI_A_1416_21_5			automatic	TEOM		TEOM1400A						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf	-999	ug.m-3		http://www.imatranseudunymparistotoimi.fi/palvelut/ilmanlaadun-valvonta/	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
30	FI.FMI.AQ	2023	NET-FI021A	Lohjan verkko	UTC+02	FI00972	972	Lohja Harjula	SPO-FI00972_00005_100	PM10	24.0695	60.249	70.0	m	urban	background	2020-01-01T00:00:00		SPO_F-FI00972_00005_100_100	4	m							Other			0					Lohja	elevated									SPP-FI_A_1478_32_5			automatic	nephelometry		GRIMM-EDM180						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf	-999	ug.m-3	katso laatudokumentti	http://ilmanlaatu.hsy.fi/www/Mittaus_ja_laatusuunnitelma.pdf	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
31	FI.FMI.AQ	2023	NET-FI022A	Kokkolan verkko	UTC+02	FI00404	404	Keskusta PitkÃ¤nsillankatu	SPO-FI00404_00005_100	PM10	23.1316	63.8376	10.0	m	urban	traffic	1998-01-01T00:00:00		SPO_F-FI00404_00005_100_100	4.5	m	7	m	13	m	13	m	Transport			0					Kokkola	canyon		30			8	7	40	8000	SPP-FI_A_1165_16_5			automatic	nephelometry+beta		enviroMP101M						inprogress		-999	ug.m-3	VertailumenetelmÃ¤Ã¤ on verrattu referenssikerÃ¤imiin Ilmatieteen laitoksen selvityksessÃ¤ vuosina 2014-15 (Demonstration of the equivalence.of PM2	5 and PM10 measurement methods in Kuopio 2014-15)	http://www.kokkola.fi/palvelut/ymparisto_ja_luonto/ilmanlaatu/fi_FI/ilmanlaadun_valvonta/	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980	
32	FI.FMI.AQ	2023	NET-FI024A	Kouvolan verkko	UTC+02	FI00892	892	Kankaan Koulu	SPO-FI00892_00005_100	PM10	26.701	60.8704	75.0	m	urban	traffic	2013-11-06T00:00:00		SPO_F-FI00892_00005_100_100	3.5	m	50	m	6	m			Transport			0					Kouvola										SPP-FI_A_1415_19_5			automatic	TEOM		TEOM1400A						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf			Ko-mÃ¤Ã¤ritys gravimetrisesti ja virtaustarkistus 2 krt/vuosi. Laitetyyppi on verrattu Kuopion vertailussa	https://www.aeri.fi/wp-content/uploads/2023/07/Aeri-laatujarjestelman-kuvaus-250723.pdf	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
33	FI.FMI.AQ	2023	NET-FI026A	Harjavallan verkko	UTC+02	FI00179	179	Pirkkala	SPO-FI00179_00005_100	PM10	22.1431	61.3316	39.0	m	suburban	industrial	2007-01-01T00:00:00		SPO_F-FI00179_00005_100_100	4	m	6	m	100	m	1700	m	Industrial Processes			0					Harjavalta	detached		100							SPP-FI_A_1425_31_5			automatic	TEOM		TEOM1400A						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf			Virtauksen ja K0-vakion sekÃ¤ apusuureiden lÃ¤mpÃ¶tila- ja painetarkistukset jÃ¤ljitettÃ¤vÃ¤sti 2 kertaa vuodessa. MittausepÃ¤varmuus U=14	4 % (Kuopion vertailumittaukset	 IL 1/2017).	https://www.pori.fi/ilmanlaatu	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980
34	FI.FMI.AQ	2023	NET-FI026A	Harjavallan verkko	UTC+02	FI00184	184	Kaleva	SPO-FI00184_00005_100	PM10	22.135	61.3135	37.0	m	suburban	industrial	2007-01-01T00:00:00		SPO_F-FI00184_00005_100_100	4	m	10	m	500	m	1000	m	Industrial Processes			0					Harjavalta	open									SPP-FI_A_1425_31_5			automatic	TEOM		TEOM1400A						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf			Virtauksen ja K0-vakion sekÃ¤ apusuureiden lÃ¤mpÃ¶tila- ja painetarkistukset jÃ¤ljitettÃ¤vÃ¤sti 2 kertaa vuodessa. MittausepÃ¤varmuus U=14	4 % (Kuopion vertailumittaukset	 IL 1/2017).	https://www.pori.fi/ilmanlaatu	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980
35	FI.FMI.AQ	2023	NET-FI028A	Vaasan verkko	UTC+02	FI00465	465	Vaasan keskusta	SPO-FI00465_00005_100	PM10	21.6183	63.0951	15.0	m	urban	traffic	2001-09-01T00:00:00		SPO_F-FI00465_00005_100_100	4	m	8	m	4	m			Transport			0					Vaasa			61		0.05		40	35	16000	SPP-FI_A_1388_12_5			automatic	BETA		enviroMP101M						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf	-999	ug.m-3		https://www.vaasa.fi/sites/default/files/vaasan_ilmanlaadun_seurannan_laadunvarmistus.pdf	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
